114,LOMOTIL,86,75,"fda, rxnorm",80.5
685,ALOCRIL,71,67,"fda, rxnorm",69.0
1060,LO-TROL,71,40,fda,55.5
71,CORTRIL,71,67,fda,69.0
1678,CHLOROPTIC,71,60,"rxnorm, fda",65.5
1182,CLOROTEKAL,71,80,"fda, rxnorm",75.5
729,LAROTID,71,75,fda,73.0
1461,ALDORIL,71,67,rxnorm,69.0
5196,CORN OIL,67,29,rxnorm,48.0
2659,LOROXIDE,67,67,rxnorm,67.0
2658,LORIS,67,57,rxnorm,62.0
360,LOZOL,67,57,"fda, rxnorm",62.0
926,KLOROMIN,67,44,fda,55.5
2206,ORETICYL,67,67,rxnorm,67.0
1637,CLOZARIL,67,67,"rxnorm, fda",67.0
283,CLINORIL,67,67,"fda, rxnorm",67.0
337,ALPROSTADIL,67,67,"fda, rxnorm",67.0
5179,ORGOTEIN,67,44,rxnorm,55.5
947,ILOPROST,67,60,"fda, rxnorm",63.5
1947,FORTICAL,67,67,"rxnorm, fda",67.0
2866,PULMOTIL,67,67,rxnorm,67.0
2045,FLORICAL,67,67,rxnorm,67.0
5427,EFFORTIL,67,67,swissmedic,67.0
2805,RIVOTRIL,67,22,"rxnorm, swissmedic",44.5
1458,ALCORTIN,67,60,rxnorm,63.5
5665,TILCOTIL,67,44,swissmedic,55.5
5193,CLOPROSTENOL,63,67,rxnorm,65.0
163,FLUOROURACIL,63,60,"fda, rxnorm",61.5
1634,CLOTRIMAZOIL,63,55,rxnorm,59.0
4385,CHLOROTHYMOL,63,80,rxnorm,71.5
1022,LORTAB,62,75,"fda, rxnorm",68.5
2562,LOCOID,62,57,"rxnorm, fda, swissmedic",59.5
1600,BROXIL,62,22,rxnorm,42.0
5906,NOOTROPIL,62,22,swissmedic,42.0
2205,ORETIC,62,50,"rxnorm, fda",56.0
2201,DROTIC,62,50,rxnorm,56.0
2464,ULORIC,62,50,"rxnorm, fda",56.0
1922,GORDOFILM,62,60,rxnorm,61.0
2575,LOMONT,62,50,rxnorm,56.0
2912,PROTILASE,62,67,rxnorm,64.5
605,LOTREL,62,75,"fda, rxnorm",68.5
2656,LORCET,62,75,rxnorm,68.5
