38,METVIX,67,80,swissmedic,73.5
4,VARIVAX,62,80,swissmedic,71.0
39,VENTAVIS,57,80,swissmedic,68.5
37,VANIQA,50,75,swissmedic,62.5
40,AVONEX,50,80,swissmedic,65.0
35,VERINTEX,43,73,swissmedic,58.0
78,AVONEX PEN,38,80,swissmedic,59.0
27,VICKS SINEX,35,75,swissmedic,55.0
71,VIMOVO,33,75,swissmedic,54.0
2,PNEUMOVAX-23,33,73,swissmedic,53.0
36,FOSAMAX 70 MG,32,80,swissmedic,56.0
11,VERMOX 100 MG,32,80,swissmedic,56.0
12,VERMOX 500 MG,32,80,swissmedic,56.0
62,NUX VOMICA D4,32,75,swissmedic,53.5
28,VENTRUX,31,73,swissmedic,52.0
61,MYFENAX 500 MG,30,80,swissmedic,55.0
60,MYFENAX 250 MG,30,80,swissmedic,55.0
26,HOMÉOVOX,29,80,swissmedic,54.5
18,CONVULEX,29,73,swissmedic,51.0
7,VANCOCIN I.V. 1 G,26,80,swissmedic,53.0
55,MUCOSA COMPOSITUM,26,75,swissmedic,50.5
45,VANCOMYCIN SANDOZ 1 G I.V.,25,73,swissmedic,49.0
13,AVENAFORCE,25,73,swissmedic,49.0
88,FUNG-X NAIL,24,75,swissmedic,49.5
30,BENEFIX 500,24,80,swissmedic,52.0
29,BENEFIX 250,24,80,swissmedic,52.0
21,NUX VOMICA-HOMACCORD,23,75,swissmedic,49.0
44,VANCOMYCIN SANDOZ 500 MG I.V.,23,73,swissmedic,48.0
47,VENLAFAXIN SANDOZ 75,23,83,swissmedic,53.0
15,CONVULEX 300,22,73,swissmedic,47.5
14,CONVULEX 150,22,73,swissmedic,47.5
16,CONVULEX 500,22,73,swissmedic,47.5
31,BENEFIX 1000,22,80,swissmedic,51.0
32,BENEFIX 2000,22,80,swissmedic,51.0
33,BENEFIX 3000,22,80,swissmedic,51.0
51,VENLAFAXIN-MEPHA 37.5,22,83,swissmedic,52.5
82,FUNG-X DERMA,22,75,swissmedic,48.5
48,VENLAFAXIN-MEPHA ER 150,21,83,swissmedic,52.0
46,VENLAFAXIN SANDOZ 37.5,21,83,swissmedic,52.0
34,VICKS VAPORUB,21,75,swissmedic,48.0
64,VANCOMYCIN LABATEC 1 G,21,73,swissmedic,47.0
80,VENLAFAXIN ER SANDOZ 75,21,83,swissmedic,52.0
49,VENLAFAXIN-MEPHA ER 75,21,83,swissmedic,52.0
50,VENLAFAXIN-MEPHA ER 37.5,20,83,swissmedic,51.5
17,VICKS MEDINAIT,20,75,swissmedic,47.5
81,VENLAFAXIN ER SANDOZ 150,20,83,swissmedic,51.5
3,TWINRIX 720/20,20,73,swissmedic,46.5
63,VANCOMYCIN LABATEC 500 MG,19,73,swissmedic,46.0
58,VENLAX ER 75 MG,19,80,swissmedic,49.5
79,VENLAFAXIN ER SANDOZ 37.5,19,83,swissmedic,51.0
91,FEXO-MEPHA ALLERGIE 120 MG,19,75,swissmedic,47.0
20,VANCOCIN 250 MG,19,80,swissmedic,49.5
5,VICKS INHALER N,19,75,swissmedic,47.0
19,VANCOCIN 125 MG,19,80,swissmedic,49.5
59,VENLAX ER 150 MG,18,80,swissmedic,49.0
0,MUQUEUSE URINAIRE SÉROCYTOL,18,75,swissmedic,46.5
57,VENLAX ER 37.5 MG,17,80,swissmedic,48.5
65,VENLAFAXIN SPIRIG HC RETARD 75,17,83,swissmedic,50.0
67,VENLAFAXIN SPIRIG HC RETARD 37.5,16,83,swissmedic,49.5
66,VENLAFAXIN SPIRIG HC RETARD 150,16,83,swissmedic,49.5
6,VANCOCIN I.V. 500 MG,15,80,swissmedic,47.5
69,VENLAFAXIN-TEVA 75 MG,15,83,swissmedic,49.0
68,VENLAFAXIN-TEVA 37.5 MG,14,83,swissmedic,48.5
22,FUNGOTOX,14,73,swissmedic,43.5
56,FUNICULUS UMBILICALIS SUIS D10 D30 D200,13,80,swissmedic,46.5
8,FUNGIZONE,13,80,swissmedic,46.5
76,VENLAFAXIN PFIZER ER 75MG,13,83,swissmedic,48.0
1,NERVEUX CENTRAL SÉROCYTOL,13,80,swissmedic,46.5
90,VASOKINOX 800 PPM MOLE/MOLE,12,73,swissmedic,42.5
75,VENLAFAXIN PFIZER ER 37.5MG,12,83,swissmedic,47.5
77,VENLAFAXIN PFIZER ER 150MG,12,83,swissmedic,47.5
23,FUNGOTOX-100,11,73,swissmedic,42.0
24,FUNGOTOX-200,11,73,swissmedic,42.0
87,NUWIQ 2000 IE,11,75,swissmedic,43.0
86,NUWIQ 1000 IE,11,75,swissmedic,43.0
