1339,IBUPROFEN,100,FDA dataset
2622,SUPROFEN,82,FDA dataset
5022,IBUPRIN,75,FDA dataset
5204,LIPOFEN,75,FDA dataset
4072,VICOPROFEN,74,FDA dataset
5520,TAB-PROFEN,74,FDA dataset
6097,IBUPROFEN LYSINE,72,FDA dataset
7522,IBUPROFEN SODIUM,72,FDA dataset
2015,BUPRENEX,71,FDA dataset
5352,IBUPROHM,71,FDA dataset
2621,PROFENAL,71,FDA dataset
6096,NEOPROFEN,67,FDA dataset
2448,DIPROLENE,67,FDA dataset
2473,FLURBIPROFEN,67,FDA dataset
2796,LUPRON,67,FDA dataset
2516,CARPROFEN,67,FDA dataset
5521,CAP-PROFEN,63,FDA dataset
2464,KETOPROFEN,63,FDA dataset
32,ISUPREL,62,FDA dataset
8386,UTIBRON,62,FDA dataset
4699,CHILDREN'S IBUPROFEN,62,FDA dataset
5998,FAMOTIDINE; IBUPROFEN,60,FDA dataset
7520,SUPRENZA,59,FDA dataset
1946,NAPROXEN,59,FDA dataset
7103,PROLENSA,59,FDA dataset
1877,BACLOFEN,59,FDA dataset
3961,BUPHENYL,59,FDA dataset
8152,NITROGEN,59,FDA dataset
3399,NEBUPENT,59,FDA dataset
5659,GABLOFEN,59,FDA dataset
5353,MEDIPREN,59,FDA dataset
5114,CIPRODEX,59,FDA dataset
7917,PROBEN-C,59,FDA dataset
6406,BYDUREON,59,FDA dataset
7268,NEUPOGEN,59,FDA dataset
2935,DIPROLENE AF,57,FDA dataset
2128,RUFEN,57,FDA dataset
1898,IBRIN,57,FDA dataset
2929,CIPRO,57,FDA dataset
1878,PROVENTIL,56,FDA dataset
787,BETAPRONE,56,FDA dataset
7110,QUIBRON-T,56,FDA dataset
2947,TIOPRONIN,56,FDA dataset
1802,PROFERDEX,56,FDA dataset
129,PERCORTEN,56,FDA dataset
3287,CHIBROXIN,56,FDA dataset
3690,IOPROMIDE,56,FDA dataset
1739,DIPROSONE,56,FDA dataset
3358,SUPPRELIN,56,FDA dataset
2366,AURANOFIN,56,FDA dataset
7266,PROLEUKIN,56,FDA dataset
4974,MUPIROCIN,56,FDA dataset
3367,CIPROFLOXACIN,55,FDA dataset
5473,DIFLUPREDNATE,55,FDA dataset
5368,BUPRENORPHINE,55,FDA dataset
1084,EUTRON,53,FDA dataset
13154,UROEZE,53,RxNorm
7007,BROMFED-DM,53,FDA dataset
4569,RIBASPHERE,53,FDA dataset
6897,PROCAN,53,FDA dataset
3779,URSO FORTE,53,FDA dataset
1983,PROTIRELIN,53,FDA dataset
4826,UNIPEN,53,FDA dataset
2647,EPIPEN,53,FDA dataset
8878,PAROXETINE,53,FDA dataset
2633,OCUFEN,53,FDA dataset
883,PROBENECID,53,FDA dataset
4102,MIRENA,53,FDA dataset
5535,NEUPRO,53,FDA dataset
4422,BEXAROTENE,53,FDA dataset
6607,APOGEN,53,FDA dataset
6524,ASBRON,53,FDA dataset
6470,PYOPEN,53,FDA dataset
2398,BUSPAR,53,FDA dataset
5357,DIPHEN,53,FDA dataset
8368,DICLOFENAC,53,FDA dataset
1732,HIPREX,53,FDA dataset
1195,PIPOBROMAN,53,FDA dataset
3590,NIPENT,53,FDA dataset
1209,IMURAN,53,FDA dataset
7367,MIRABEGRON,53,FDA dataset
1455,LIPO-HEPIN,53,FDA dataset
5985,AXIRON,53,FDA dataset
7466,JUNIOR STRENGTH IBUPROFEN,53,FDA dataset
2799,NUPRIN,53,FDA dataset
1549,PERTOFRANE,53,FDA dataset
5919,XIBROM,53,FDA dataset
7562,PAROEX,53,FDA dataset
3511,MEPRON,53,FDA dataset
6804,PRE-PEN,50,FDA dataset
780,DIUPRES-250,50,FDA dataset
2185,NIPRIDE,50,FDA dataset
8248,OTIPRIO,50,FDA dataset
755,TRIFLUPROMAZINE,50,FDA dataset
6822,ILOPERIDONE,50,FDA dataset
2907,PSORCON,50,FDA dataset
5534,DEFERIPRONE,50,FDA dataset
6738,PROMETHACON,50,FDA dataset
2155,PROPINE,50,FDA dataset
782,DIUPRES-500,50,FDA dataset
848,SALURON,50,FDA dataset
4741,PROPHENE 65,50,FDA dataset
831,PROVERA,50,FDA dataset
2187,LIDOPEN,50,FDA dataset
7748,UNIPRES,50,FDA dataset
4411,PREFEST,50,FDA dataset
3882,PRECOSE,50,FDA dataset
2127,IBU,50,FDA dataset
6106,BROVANA,50,FDA dataset
3192,PROSTEP,50,FDA dataset
701,PROKETAZINE,50,FDA dataset
7592,ILUVIEN,50,FDA dataset
3521,RISPERIDONE,50,FDA dataset
2634,FLURBIPROFEN SODIUM,50,FDA dataset
1492,ATROPEN,50,FDA dataset
2957,RELAFEN,50,FDA dataset
8857,CRISABOROLE,50,FDA dataset
5739,PROGRAF,50,FDA dataset
368,MIRADON,50,FDA dataset
8752,IBRANCE,50,FDA dataset
8738,RHOFADE,50,FDA dataset
657,ENDURON,50,FDA dataset
7442,SIMPONI,50,FDA dataset
8942,SIRTURO,50,FDA dataset
7420,IDURSULFASE,50,FDA dataset
5868,BEPREVE,50,FDA dataset
5228,PROMETA,50,FDA dataset
3584,SUPRANE,50,FDA dataset
6548,IXABEPILONE,50,FDA dataset
7781,DIBENIL,50,FDA dataset
2295,CAPOTEN,50,FDA dataset
8902,OBREDON,50,FDA dataset
1059,ALUPENT,50,FDA dataset
6992,REGORAFENIB,50,FDA dataset
7822,LIQUID PRED,50,FDA dataset
1764,MOTOFEN,50,FDA dataset
1741,PREGNYL,50,FDA dataset
7961,VIRILON,50,FDA dataset
6928,VEMURAFENIB,50,FDA dataset
6036,ZUPLENZ,50,FDA dataset
11113,PROMACE,50,RxNorm
7068,PROMETHEGAN,50,FDA dataset
6987,PRELONE,50,FDA dataset
4398,PRIFTIN,50,FDA dataset
5348,SILPHEN,50,FDA dataset
6881,INNOFEM,50,FDA dataset
3684,ZEMURON,50,FDA dataset
3247,ELMIRON,50,FDA dataset
6047,PIRFENIDONE,50,FDA dataset
5367,BUTRANS,50,FDA dataset
8153,IBSRELA,50,FDA dataset
460,PROGESTERONE,48,FDA dataset
7981,PROMETHAZINE,48,FDA dataset
5920,BROMFENAC SODIUM,48,FDA dataset
7610,TRI-PREVIFEM,48,FDA dataset
6542,SUPPRELIN LA,48,FDA dataset
1805,DINOPROSTONE,48,FDA dataset
8151,"NITROGEN, NF",48,FDA dataset
6531,PALIPERIDONE,48,FDA dataset
6407,BYDUREON PEN,48,FDA dataset
4241,MIFEPRISTONE,48,FDA dataset
7716,QUIBRON-T/SR,48,FDA dataset
77,IRON DEXTRAN,48,FDA dataset
6100,LUBIPROSTONE,48,FDA dataset
4738,ARIPIPRAZOLE,48,FDA dataset
